step,performance,entropy,output length
1,0.7523437142372131,0.2846236841287464,323.40625
2,0.5070312023162842,0.25884550460614264,316.640625
3,0.4476562738418579,0.24219190329313278,333.515625
4,0.640625,0.2685095702763647,331.3515625
5,0.5570312738418579,0.26825292175635695,322.0703125
6,0.7671874761581421,0.2891500114928931,319.140625
7,0.8453125357627869,0.2755496222525835,321.328125
8,0.6906250715255737,0.28451638715341687,312.5
9,0.49765628576278687,0.27666301489807665,313.8828125
10,0.7898436784744263,0.24287390056997538,316.4296875
11,0.7117187976837158,0.2859930479899049,316.3203125
12,1.056249976158142,0.2604317602235824,307.78125
13,0.7499999403953552,0.2684530296828598,298.0703125
14,1.0164062976837158,0.26233054930344224,304.65625
15,1.024999976158142,0.2369453995488584,306.6015625
16,1.2679686546325684,0.2551746913231909,310.03125
17,1.1492186784744263,0.26666588871739805,304.375
18,1.131250023841858,0.25666136015206575,303.3046875
19,1.5148438215255737,0.26463501481339335,298.484375
20,1.9085936546325684,0.2529991022311151,291.5546875
21,2.6109375953674316,0.2163040559971705,270.4453125
22,2.7867188453674316,0.2280438260640949,269.4375
23,2.5335936546325684,0.205344328423962,262.734375
24,2.88671875,0.17759405029937625,256.28125
25,2.699218988418579,0.1885147576685995,254.265625
26,3.227343797683716,0.15321789006702602,246.4765625
27,3.8421874046325684,0.1439473971258849,241.9453125
28,3.8695311546325684,0.16528749326243997,233.1171875
29,4.536718368530273,0.13518197229132056,225.5390625
30,4.177343845367432,0.13282654935028404,229.9609375
31,3.3257811069488525,0.1306915336754173,240.96875
32,4.964844226837158,0.11592763988301158,226.8359375
33,5.121875286102295,0.11734298255760223,217.6015625
34,5.410938262939453,0.10563961300067604,222.3125
35,6.371875286102295,0.11301727569662035,212.375
36,6.06640625,0.09870426193811,220.9765625
37,4.9765625,0.10660411836579442,218.9296875
38,4.314844131469727,0.11158586863894016,227.2421875
39,5.243750095367432,0.10360123834107071,213.8203125
40,5.734375476837158,0.10376622970215976,207.2578125
41,4.364843845367432,0.10570387099869549,222.203125
42,5.564843654632568,0.10567003139294684,208.8203125
43,6.189843654632568,0.0916544368956238,203.0703125
44,6.93515682220459,0.07804641535039991,196.140625
45,7.425781726837158,0.08550942124566063,197.8359375
46,6.728906631469727,0.08363800833467394,197.03125
47,6.97031307220459,0.08284881862346083,201.4765625
48,7.219531059265137,0.07350667135324329,194.921875
49,7.388281345367432,0.07016902015311643,195.1015625
50,7.878906726837158,0.06943708145990968,193.328125
51,7.731250286102295,0.0651195784448646,195.4453125
52,7.525781154632568,0.06452696933411062,194.4765625
53,8.01171875,0.05649286974221468,189.53125
54,8.34296989440918,0.05233259289525449,187.1640625
55,7.982031345367432,0.051392437948379666,193.1484375
56,7.805469512939453,0.05678594968048856,193.09375
57,7.843750476837158,0.05367629643296823,192.0546875
58,8.225000381469727,0.04547961405478418,189.15625
59,7.737500190734863,0.039498812810052186,191.9609375
60,7.625,0.047717054578242823,189.671875
61,6.68515682220459,0.04809155219118111,197.359375
62,7.960937976837158,0.03931407642085105,193.953125
63,7.459375381469727,0.04489704704610631,197.953125
64,7.139843940734863,0.04119845843524672,196.453125
