step_num	response_length	performance	entropy
10	1148.0	0.0048828125	0.6244266522116959
20	1125.09375	0.00830078125	0.3796368455514312
30	1114.0625	0.00732421875	0.3619172270409763
40	1098.09375	0.01123046875	0.4657757352106273
50	1103.640625	0.00732421875	0.5574914780445397
60	1135.578125	0.00927734375	0.6795597514137626
70	1114.5	0.01025390625	0.6699884226545691
80	1110.03125	0.01416015625	0.6277941716834903
90	1104.875	0.0146484375	0.47488507255911827
100	1099.546875	0.02685546875	0.320471033686772
110	1082.953125	0.06298828125	0.24991013249382377
120	1074.9375	0.16259765625	0.21133553725667298
130	996.734375	0.36181640625	0.15929252817295492
140	975.921875	0.48681640625	0.1327234205091372
150	964.171875	0.55908203125	0.11720935837365687
160	936.0	0.65869140625	0.08948717673774809
170	927.296875	0.65771484375	0.08411624596919864
180	896.59375	0.7021484375	0.08403477357933298
190	909.5625	0.7294921875	0.08889025449752808
200	863.890625	0.74560546875	0.08797888207482174
210	915.015625	0.75439453125	0.08770475961500779
220	1454.71875	0.27978515625	0.6922223841538653
230	909.6875	0.75390625	0.08473568840418011
240	952.53125	0.73486328125	0.0702476070728153
250	887.125	0.7880859375	0.06974321132292971
260	900.21875	0.80419921875	0.06598628708161414
270	922.59375	0.81201171875	0.07106188079342246
280	901.03125	0.80859375	0.058395440166350454
290	900.390625	0.79150390625	0.07706588925793767
300	860.3125	0.791015625	0.12184738542418927
310	915.75	0.7705078125	0.10213574953377247
320	888.578125	0.77978515625	0.08425869001075625
330	818.1875	0.77294921875	0.056390201149042696
340	814.390625	0.79052734375	0.05006633832817897
350	848.59375	0.796875	0.0511300329817459
360	829.390625	0.791015625	0.05225327401421964
370	811.71875	0.73193359375	0.05774563684826717
380	820.4375	0.79443359375	0.061615818296559155
390	823.4375	0.77587890625	0.056726574373897165
400	869.546875	0.80224609375	0.060901548189576715
410	852.078125	0.7890625	0.06187743623740971
420	845.046875	0.78662109375	0.06536001939093694
430	888.234375	0.80029296875	0.06603258318500593
440	809.859375	0.8076171875	0.06826539395842701
450	848.296875	0.8076171875	0.06698348990175873
460	846.0625	0.82373046875	0.07296299719018862
470	803.90625	0.828125	0.06681865802966058
480	831.109375	0.83349609375	0.05785631318576634
490	880.0	0.83203125	0.06951090216170996
500	855.984375	0.8271484375	0.07577495591249317
510	796.328125	0.84912109375	0.08860796550288796
520	840.1875	0.857421875	0.10022778692655265
530	861.484375	0.84423828125	0.08880055759800598
540	794.359375	0.833984375	0.06979660276556388
550	809.921875	0.8447265625	0.058947151876054704
560	721.546875	0.857421875	0.06363579217577353
570	838.578125	0.88134765625	0.06489657581551
580	915.265625	0.8720703125	0.05897642020136118
590	882.90625	0.8671875	0.05903751228470355
600	794.859375	0.8408203125	0.05226430098991841
610	827.046875	0.853515625	0.05166854849085212
620	896.296875	0.859375	0.04749612364685163
630	863.25	0.85498046875	0.05769954598508775
640	842.609375	0.865234375	0.07004150893772021
650	871.265625	0.8564453125	0.06878998322645202
660	825.015625	0.85986328125	0.07983804465038702
670	802.109375	0.85693359375	0.09673689136980101
680	833.984375	0.86767578125	0.11056463164277375
690	848.421875	0.8759765625	0.12373745522927493
700	856.25	0.8681640625	0.13939006393775344
710	852.734375	0.87841796875	0.13338739215396345
720	878.03125	0.89306640625	0.1169842848321423
730	827.765625	0.86767578125	0.10163706773892045
740	885.421875	0.8798828125	0.08446691668359563
750	858.234375	0.86083984375	0.08227940154029056
760	800.0	0.87744140625	0.0759941263240762
770	851.6875	0.900390625	0.061452392837964
780	779.453125	0.9111328125	0.06717358861351386
790	802.296875	0.90478515625	0.0703057007631287
800	779.9375	0.91455078125	0.07010109547991306
810	861.953125	0.90283203125	0.083400301868096
820	858.359375	0.91064453125	0.091595966136083
830	839.875	0.91064453125	0.09999146778136492
840	790.625	0.8896484375	0.11006605916190892
850	802.109375	0.8935546875	0.10652219597250223
860	893.59375	0.87939453125	0.11205312190577388
870	930.015625	0.87255859375	0.12450959219131619
880	907.453125	0.86328125	0.15433984459377825
890	857.421875	0.88427734375	0.1491218579467386
900	840.859375	0.91845703125	0.16864336060825735
910	816.78125	0.90966796875	0.17241816548630595
920	762.15625	0.9189453125	0.16594497277401388
930	781.046875	0.92236328125	0.1422381162410602
940	773.484375	0.93701171875	0.130363930715248
950	787.96875	0.9462890625	0.17955614032689482
960	767.640625	0.95068359375	0.13227442582137883
970	778.3125	0.935546875	0.12313664564862847
980	771.65625	0.93505859375	0.0951265140902251
990	841.421875	0.93798828125	0.0956019515870139
