step,performance,entropy,output length
1,5.6634440422058105,0.3170918938703835,469.0546875
2,5.648918151855469,0.3239696694072336,513.9765625
3,5.204553604125977,0.3125370368361473,536.1484375
4,5.5782036781311035,0.34055114979855716,490
5,5.744439601898193,0.36214244761504233,465.6328125
6,5.657759666442871,0.31136169796809554,526.8203125
7,6.18643045425415,0.3146727131679654,518.703125
8,6.010857582092285,0.318404606776312,476.7109375
9,5.572519302368164,0.28120009950362146,587.875
10,6.262029647827148,0.3100308037828654,504.9296875
11,6.299410343170166,0.2949741578195244,500.0234375
12,6.619723796844482,0.28420648258179426,495.8984375
13,6.966697692871094,0.27326338458806276,478.953125
14,6.827213287353516,0.2815460541751236,495.3359375
15,7.193808555603027,0.2980925696901977,474.7265625
16,7.238058090209961,0.267651385627687,465.515625
17,7.127012729644775,0.2987921265885234,445.5546875
18,7.34458065032959,0.2898103022016585,443.265625
19,7.320087432861328,0.26495483447797596,457.71875
20,7.348865985870361,0.25964924902655184,467.84375
21,7.2393903732299805,0.24389479425735772,459.2890625
22,7.554990768432617,0.2607628065161407,440.4765625
23,7.311225414276123,0.25056314561516047,473.2265625
24,7.451321125030518,0.24449867429211736,470.140625
25,7.501134395599365,0.2498452616855502,453.4921875
26,7.732609748840332,0.22653177473694086,404.234375
27,7.696596622467041,0.23757337452843785,419.984375
28,7.764792442321777,0.2280531097203493,429.3984375
29,7.77862548828125,0.22042652079835534,429.9921875
30,7.762423515319824,0.20062240213155746,411.5234375
31,7.7076497077941895,0.22759994491934776,434
32,7.950631141662598,0.20124767208471894,412.3984375
33,8.064628601074219,0.2167764324694872,385.4375
34,7.903102397918701,0.2007442673202604,395.5859375
35,7.982834815979004,0.1941173158120364,411.125
36,7.963036060333252,0.18969167466275394,402.5234375
37,8.041049003601074,0.2037506098859012,393.875
38,7.967034339904785,0.19197737704962492,395.921875
39,8.208154678344727,0.1919707553461194,374.6171875
40,7.899870872497559,0.18825607211329043,396.46875
41,8.1095609664917,0.1717642763396725,387.6640625
42,8.14670467376709,0.17108418699353933,373.03125
43,7.992892265319824,0.1700112223625183,392.96875
44,8.075778007507324,0.17891947994939983,352.234375
45,8.132000923156738,0.17533919459674507,368.6953125
46,8.216510772705078,0.18508331733755767,375.1484375
47,8.173256874084473,0.1802212572656572,357.8203125
48,8.108901977539062,0.19181660981848836,368.8984375
49,8.14055061340332,0.17572803306393325,369.40625
50,7.966035842895508,0.1775756748393178,409.4609375
51,8.097989082336426,0.16770666826050729,415.359375
52,8.058855056762695,0.17139193741604686,398.3984375
53,8.271404266357422,0.18185454444028437,399.1640625
54,8.254358291625977,0.18203698098659515,383.6171875
55,8.351934432983398,0.17642663000151515,393.4375
56,8.148075103759766,0.1851566885598004,398.7109375
57,8.013277053833008,0.1730417979415506,410.0625
58,8.213235855102539,0.166400290094316,387.7265625
59,8.220096588134766,0.18092504353262484,385.8984375
60,8.170731544494629,0.18752625561319292,397.96875
61,8.231159210205078,0.19061412569135427,390.3203125
62,8.150461196899414,0.1824215215165168,421.8671875
63,8.398484230041504,0.16637970344163477,393.59375
64,8.365978240966797,0.17016440350562334,385.109375
65,8.279470443725586,0.18090387829579413,398.390625
66,8.388917922973633,0.17034306563436985,393.2109375
67,8.143383979797363,0.15422080224379897,376.4453125
68,8.28911304473877,0.1590097958687693,364.6484375
69,8.26502799987793,0.16709847818128765,372.6015625
70,8.252098083496094,0.16511960630305111,383.859375
71,8.199620246887207,0.17181528289802372,392.046875
72,8.251729965209961,0.14143044990487397,384.9609375
73,8.339618682861328,0.13703934499062598,388.2265625
74,8.080031394958496,0.1411160787101835,364.59375
75,8.209583282470703,0.15541732357814908,376.3046875
76,8.318073272705078,0.1567361622583121,366.4765625
77,8.320164680480957,0.1530892716255039,392.0078125
78,8.270414352416992,0.15612275106832385,348.0078125
79,8.249597549438477,0.15055688843131065,385.0625
80,8.246893882751465,0.1609490963164717,383.9453125
81,8.431302070617676,0.1542253354564309,358.0078125
82,8.466184616088867,0.1616371611598879,397.90625
83,8.361059188842773,0.15581556363031268,395.4375
84,8.267318725585938,0.15951510751619935,381.2734375
85,8.320367813110352,0.1662309702951461,414.265625
86,8.31352424621582,0.17372686881572008,390.6484375
87,8.309014320373535,0.15491318749263883,394.046875
